a,N,phi,dphi_dN,Delta_phi,H,rho_r,rho_m,rho_phi,rho_tot,p_phi,p_tot,w_eff,w_phi
0.8482479507765649,-0.1645822911455728,2.9973686648989006,0.03317518432919061,5.994737329797801,1.1061714323149847,0.00017384060826103234,0.5734553211301142,0.6499860759314096,1.2236152376697849,-0.6488854830761337,-0.6488275362067134,-0.5302545409963352,-0.9983067439503243
0.8452827924252322,-0.16808404202101052,2.9972511204866708,0.03396003040362034,5.9945022409733415,1.1089088629655683,0.00017629272760054596,0.5795113686073066,0.6499912050286826,1.2296788663635896,-0.6488379213636678,-0.6487791571211343,-0.5276004775455776,-0.9982256934307844
0.8423279991611837,-0.17158579289644824,2.9971308218614223,0.03474823378110806,5.994261643722845,1.1116684388557272,0.00017877943545948185,0.585631371740144,0.6499965667723261,1.2358067179479297,-0.6487891270214196,-0.6487295338762664,-0.5249441716529012,-0.9981423905715344
0.8393835347519416,-0.17508754377188596,2.997007757260137,0.03553979836569469,5.994015514520274,1.1144503013042288,0.00018130121972831769,0.59181600594042,0.6500021669169378,1.2419994740770863,-0.6487390896490635,-0.648678655909154,-0.5222857734228742,-0.9980568106813161
0.8364493630916832,-0.17858929464732368,2.9968819149060937,0.0363347280582716,5.993763829812187,1.1172545921064356,0.0001838585751795001,0.5980659537527001,0.6500080112550383,1.248257823582918,-0.6486877987919698,-0.6486265126002433,-0.5196254334208521,-0.9979689289359382
0.8335254482007982,-0.1820910455227614,2.99675328300887,0.037133026756580645,5.99350656601774,1.1200814535337769,0.00018645200356451875,0.6043819049296478,0.6500141056171259,1.2545824625503381,-0.6486352439410209,-0.648573093273166,-0.5169633026391385,-0.9978787203782357
0.8306117542254479,-0.18559279639819912,2.9966218497643426,0.03793469835521414,5.993243699528685,1.122931028333258,0.00018908201371234973,0.6107645565081471,0.6500204558717291,1.2609740943935885,-0.648581414532428,-0.6485183871945239,-0.5142995324629576,-0.9977861599180425
0.8277082454371248,-0.1890945472736368,2.996487603354684,0.038739746745614846,5.992975206709368,1.1258034597270152,0.00019174912162928727,0.617214612886228,0.6500270679254601,1.2674334299333174,-0.6485262999475456,-0.6484623835736691,-0.5116342746362514,-0.9976912223321652
0.8248148862322155,-0.19259629814907453,2.9963505319483668,0.03954817581607603,5.9927010638967335,1.128698891411909,0.00019445385060018401,0.623732785900805,0.650033947723067,1.2739611874744723,-0.6484698895126877,-0.6484050715624876,-0.5089676812273218,-0.9975938822643681
0.8219316411315631,-0.19609804902451225,2.9962106236997212,0.04035998949301751,5.9924212473994425,1.1316174675598645,0.00019719673129111915,0.6303197949062366,0.6500411012490733,1.2805580928866012,-0.6484121724971968,-0.6483464402534331,-0.5062999045923385,-0.9974941142202448
0.8190584747800327,-0.19959979989994997,2.996067866743912,0.04117519221227264,5.992135733487824,1.1345593328257724,0.0001999783018535147,0.636976366853714,0.6500485345464944,1.2872248797020618,-0.6483531380927767,-0.6482864786588256,-0.5036310973175694,-0.9973918925070719
0.8161953519460777,-0.2031015507753877,2.995922249204522,0.041993788207546984,5.991844498409044,1.1375246323354924,0.00020279910802972054,0.6437032363714882,0.6500562536904789,1.293962289169997,-0.6482927754424587,-0.6482251757397821,-0.5009614122182662,-0.9972871913191994
0.8133422375213082,-0.2066033016508254,2.99577375919254,0.0428157816056901,5.99154751838508,1.140513511687022,0.00020565970326008858,0.650501145845945,0.6500642647914576,1.3007710703406627,-0.6482310736369514,-0.6481625204025314,-0.4982910022997223,-0.9971799847279803
